Metabolism	231(231)--pathway_tablexls(KO)
 --Amino acid metabolism	68(68)
 --Biosynthesis of other secondary metabolites	4(4)
 --Carbohydrate metabolism	139(139)
 --Energy metabolism	107(107)
 --Global and overview maps	218(218)
 --Glycan biosynthesis and metabolism	4(4)
 --Lipid metabolism	16(16)
 --Metabolism of cofactors and vitamins	28(28)
 --Metabolism of other amino acids	7(7)
 --Metabolism of terpenoids and polyketides	3(3)
 --Nucleotide metabolism	22(22)
 --Xenobiotics biodegradation and metabolism	11(11)
Genetic Information Processing	133(133)--pathway_tablexls(KO)
 --Folding, sorting and degradation	7(7)
 --Replication and repair	20(20)
 --Transcription	4(4)
 --Translation	102(102)
Environmental Information Processing	22(22)--pathway_tablexls(KO)
 --Membrane transport	16(16)
 --Signal transduction	7(7)
Cellular Processes	4(4)--pathway_tablexls(KO)
 --Cell growth and death	3(3)
 --Cell motility	1(1)
Organismal Systems	2(2)--pathway_tablexls(KO)
 --Environmental adaptation	2(2)
 --Immune system	2(2)
