Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,A1 Area,A2 Area,A3 Area,1 Area,B1 Area,B2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
4131,7921,tr|K9E219|K9E219_9BACE,11.89,22,6,2,Carbamidomethylation,0,0,5.4E5,1.03E6,9.94E5,4.01E6,0:0:1.00:1.91:1.84:7.42,1.8E5,2.01E6,1.00:11.17,35241,ATP-dependent 6-phosphofructokinase OS=Bacteroides oleiciplenus YIT 12058 GN=pfkA PE=3 SV=1
225,29,tr|R6ID58|R6ID58_9FIRM,10.63,61,27,10,Carbamidomethylation; Oxidation (M),5.45E6,7.21E6,1.43E7,2.1E7,1.88E7,3.01E7,0.76:1.00:1.99:2.92:2.60:4.18,9E6,2.33E7,1.00:2.59,60419,Methylmalonyl-CoA mutase OS=Phascolarctobacterium sp. CAG:266 GN=BN574_00315 PE=4 SV=1
258,38,tr|B3JHG7|B3JHG7_9BACE,10.60,51,26,2,Carbamidomethylation; Oxidation (M),7.92E4,1.71E5,0,4.92E6,0,5.14E6,0.46:1.00:0:28.79:0:30.09,8.33E4,3.35E6,1.00:40.22,77791,Elongation factor G OS=Bacteroides coprocola DSM 17136 GN=fusA PE=3 SV=1
1484,3152,tr|R7JBT2|R7JBT2_9PORP,10.45,49,13,3,Carbamidomethylation,1.92E5,2.1E5,4.36E5,2.5E6,1.7E6,2.01E6,0.92:1.00:2.08:11.91:8.12:9.57,2.79E5,2.07E6,1.00:7.40,40367,NADH:ubiquinone oxidoreductase F subunit OS=Parabacteroides sp. CAG:409 GN=BN646_01200 PE=4 SV=1
6158,15444,tr|R5TZ77|R5TZ77_9BACE,9.51,5,3,3,,0,0,2.8E5,9.17E5,1.58E6,2.26E6,0:0:1.00:3.28:5.64:8.08,1.2E5,1.59E6,1.00:13.22,79012,Peptidyl-prolyl cis-trans isomerase OS=Bacteroides sp. CAG:702 GN=BN759_00463 PE=4 SV=1
6103,15607,tr|R5LV06|R5LV06_9BACT,9.41,11,3,3,,0,7.12E4,3.26E5,1.41E6,2.31E6,9.58E5,0:1.00:4.59:19.79:32.40:13.47,1.33E5,1.56E6,1.00:11.75,32069,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase OS=Prevotella sp. CAG:1185 GN=kduI PE=3 SV=1
3457,20504,tr|A8S6Y8|A8S6Y8_9FIRM,9.33,25,3,2,,3.06E6,2.59E6,3.12E6,6.28E6,1.28E7,1.21E7,1.18:1.00:1.20:2.43:4.96:4.66,2.9E6,1.01E7,1.00:3.48,19877,50S ribosomal protein L6 OS=Faecalibacterium prausnitzii M21/2 GN=rplF PE=3 SV=1
6224,22166,tr|R7GR82|R7GR82_9FIRM,9.29,17,2,2,,6.54E4,8.13E4,3.84E6,0,2.62E5,1.33E5,0.80:1.00:47.22:0:3.22:1.63,1.33E6,1.31E5,1.00:0.10,18197,Transcription elongation factor GreA OS=Ruminococcus sp. CAG:90 GN=greA PE=3 SV=1
5205,12473,tr|C3WFX6|C3WFX6_FUSMR,8.95,39,6,5,,9.13E4,1.19E6,1.85E5,3.74E6,1.69E6,1.41E6,0.08:1.00:0.16:3.15:1.43:1.19,4.88E5,2.28E6,1.00:4.68,20475,50S ribosomal protein L5 OS=Fusobacterium mortiferum ATCC 9817 GN=rplE PE=3 SV=1
6252,15746,tr|R6YXX2|R6YXX2_9BACE,8.66,17,3,3,,0,2.05E5,0,1.91E6,0,2.56E5,0:1.00:0:9.34:0:1.25,6.84E4,7.23E5,1.00:10.58,22005,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_01112 PE=4 SV=1
