Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
78,44,tr|R5UE03|R5UE03_9BACE,371.37,57,44,11,Carbamidomethylation; Oxidation (M),100274,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:702 GN=BN759_01582 PE=4 SV=1
71,81,tr|S0F728|S0F728_9BACE,370.22,50,43,2,Carbamidomethylation; Oxidation (M),129388,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=nifJ PE=3 SV=1
71,82,tr|R6SU62|R6SU62_9BACE,370.22,50,43,2,Carbamidomethylation; Oxidation (M),129388,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides coprophilus CAG:333 GN=BN612_00947 PE=3 SV=1
113,91,tr|R5UQZ1|R5UQZ1_9BACE,368.52,49,40,2,Carbamidomethylation; Oxidation (M),130276,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides sp. CAG:702 GN=BN759_00495 PE=3 SV=1
55,2,tr|F0R873|F0R873_BACSH,367.86,77,33,1,Carbamidomethylation; Oxidation (M),59195,Phosphoenolpyruvate carboxykinase [ATP] OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=pckA PE=3 SV=1
109,114,tr|F0R5G0|F0R5G0_BACSH,367.09,46,40,1,Carbamidomethylation; Oxidation (M),130269,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_0172 PE=3 SV=1
90,50,tr|R5C893|R5C893_9BACE,363.29,50,41,3,Carbamidomethylation; Oxidation (M),130204,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides sp. CAG:598 GN=BN727_00948 PE=3 SV=1
69,61,tr|R6C4S3|R6C4S3_9BACE,361.95,54,45,2,Carbamidomethylation; Oxidation (M),129366,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides coprocola CAG:162 GN=BN509_01556 PE=3 SV=1
91,60,tr|R6GC52|R6GC52_9BACE,361.15,49,40,3,Carbamidomethylation; Oxidation (M),130290,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides sp. CAG:633 GN=BN744_00279 PE=3 SV=1
64,67,tr|B5CZ39|B5CZ39_BACPM,360.53,53,45,4,Carbamidomethylation; Oxidation (M),129691,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=nifJ PE=3 SV=1
97,43,tr|R6YDG4|R6YDG4_9BACE,358.89,55,40,10,Carbamidomethylation; Oxidation (M),100001,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:714 GN=BN762_01649 PE=4 SV=1
211,108,tr|D4JXB1|D4JXB1_9FIRM,355.64,44,29,4,Carbamidomethylation; Oxidation (M),97600,Pyruvate phosphate dikinase OS=Faecalibacterium prausnitzii L2-6 GN=FP2_11200 PE=4 SV=1
77,3,tr|R7JGH4|R7JGH4_9PORP,350.10,74,29,1,Carbamidomethylation; Oxidation (M),59193,Phosphoenolpyruvate carboxykinase [ATP] OS=Parabacteroides sp. CAG:409 GN=pckA PE=3 SV=1
275,95,tr|E2ZF58|E2ZF58_9FIRM,349.46,44,30,3,Carbamidomethylation; Oxidation (M),98171,Pyruvate  phosphate dikinase OS=Faecalibacterium cf. prausnitzii KLE1255 GN=ppdK PE=4 SV=1
86,8,tr|R5SVM7|R5SVM7_9BACE,348.80,73,29,2,Carbamidomethylation; Oxidation (M),59310,Phosphoenolpyruvate carboxykinase [ATP] OS=Bacteroides sp. CAG:661 GN=pckA PE=3 SV=1
92,15,tr|R5C7P6|R5C7P6_9BACE,345.20,70,26,1,Carbamidomethylation; Oxidation (M),59363,Phosphoenolpyruvate carboxykinase [ATP] OS=Bacteroides sp. CAG:598 GN=pckA PE=3 SV=1
89,59,tr|F0R446|F0R446_BACSH,344.31,54,34,3,Carbamidomethylation; Oxidation (M),73400,Succinate dehydrogenase or fumarate reductase  flavoprotein subunit OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_2107 PE=4 SV=1
410,52,tr|R5TWB8|R5TWB8_9BACE,340.77,56,25,6,Carbamidomethylation; Oxidation (M),72648,Transketolase OS=Bacteroides sp. CAG:702 GN=BN759_02228 PE=3 SV=1
133,31,tr|F0R827|F0R827_BACSH,338.20,62,29,7,Carbamidomethylation; Oxidation (M),61581,Tetratricopeptide TPR_1 repeat-containing protein OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_2449 PE=4 SV=1
106,57,tr|R6FLS7|R6FLS7_9BACE,338.18,52,30,1,Carbamidomethylation; Oxidation (M),72164,Succinate dehydrogenase or fumarate reductase flavoprotein subunit OS=Bacteroides sp. CAG:633 GN=BN744_01259 PE=4 SV=1
116,37,tr|R6YFC6|R6YFC6_9BACE,338.01,58,27,6,Carbamidomethylation; Oxidation (M),61274,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00318 PE=4 SV=1
3,399,tr|F0R8V0|F0R8V0_BACSH,337.19,71,25,2,Carbamidomethylation; Oxidation (M),43574,Elongation factor Tu OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=tuf PE=3 SV=1
110,64,tr|R5C5B1|R5C5B1_9BACE,335.48,47,35,1,Carbamidomethylation; Oxidation (M),99728,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:598 GN=BN727_00105 PE=4 SV=1
514,122,tr|R6YPQ9|R6YPQ9_9BACE,335.44,41,28,7,Carbamidomethylation,98340,Alpha-glucan phosphorylase OS=Bacteroides sp. CAG:714 GN=BN762_01120 PE=3 SV=1
4,7,tr|R7CZ36|R7CZ36_9BACE,333.98,73,25,2,Carbamidomethylation; Oxidation (M),43587,Elongation factor Tu OS=Bacteroides sp. CAG:462 GN=tuf PE=3 SV=1
120,71,tr|B5CU80|B5CU80_BACPM,332.80,52,32,1,Carbamidomethylation; Oxidation (M),73472,Succinate dehydrogenase or fumarate reductase  flavoprotein subunit OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=sdhA PE=4 SV=1
114,80,tr|R7CYF9|R7CYF9_9BACE,332.64,51,31,2,Carbamidomethylation; Oxidation (M),73297,Succinate dehydrogenase or fumarate reductase flavoprotein subunit OS=Bacteroides sp. CAG:462 GN=BN666_02658 PE=4 SV=1
112,110,tr|R5S708|R5S708_9BACE,332.02,47,34,1,Carbamidomethylation; Oxidation (M),99727,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:661 GN=BN750_00118 PE=4 SV=1
180,177,tr|A0A139KHM5|A0A139KHM5_BACUN,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129879,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides uniformis GN=HMPREF2141_00306 PE=3 SV=1
